X	Y	surf.quadrat	STtot	STfrene	STfrene.lis
103000	2412000	256	1.8	0.101	0.118
119000	2412000	256	1.54	0.101	0.122
119000	2396000	256	3.05	0.208	0.181
119000	2380000	256	6.56	0.295	0.218
119000	2364000	256	2.59	0.101	0.116
119000	2348000	256	3.54	0.101	0.11
135000	2412000	256	2.51	0.12	0.127
135000	2396000	256	3.82	0.169	0.156
135000	2380000	256	2.63	0.101	0.122
135000	2364000	256	2.15	0.101	0.116
151000	2412000	256	4.43	0.101	0.118
151000	2396000	256	5.18	0.101	0.119
151000	2380000	256	2.8	0.101	0.12
151000	2364000	256	3.88	0.101	0.118
151000	2348000	256	4.15	0.111	0.132
167000	2412000	256	5.22	0.169	0.159
167000	2396000	256	4.98	0.111	0.13
167000	2380000	256	1.4	0.16	0.151
167000	2364000	256	3.23	0.265	0.193
167000	2348000	256	5.61	0.101	0.127
167000	2332000	256	4.88	0.208	0.181
183000	2428000	256	1.39	0.101	0.133
183000	2412000	256	2.09	0.257	0.206
183000	2396000	256	5.33	0.257	0.203
183000	2380000	256	4.72	0.101	0.124
183000	2364000	256	3.58	0.101	0.119
183000	2348000	256	5.4	0.101	0.121
183000	2332000	256	7.32	0.101	0.12
199000	2412000	256	2.38	0.141	0.162
199000	2396000	256	4.29	0.131	0.152
199000	2380000	256	3.26	0.101	0.122
199000	2364000	256	6.47	0.101	0.114
199000	2348000	256	4.41	0.14	0.132
199000	2332000	256	7.13	0.13	0.135
199000	2316000	256	4.14	0.14	0.138
215000	2396000	256	3.08	0.17	0.17
215000	2380000	256	4.02	0.15	0.147
215000	2364000	256	0.88	0.101	0.113
215000	2348000	256	0.67	0.101	0.112
215000	2332000	256	4.21	0.13	0.132
215000	2316000	256	3.58	0.275	0.194
231000	2380000	256	0.94	0.101	0.126
231000	2364000	256	4.16	0.101	0.114
231000	2348000	256	4.61	0.101	0.112
231000	2332000	256	4.46	0.101	0.116
231000	2316000	256	7.35	0.101	0.114
231000	2300000	256	2.44	0.101	0.111
247000	2396000	256	4.37	0.2	0.199
247000	2380000	256	2.36	0.101	0.129
247000	2364000	256	5.15	0.101	0.113
247000	2348000	256	3.2	0.178	0.149
247000	2332000	256	2.01	0.101	0.113
247000	2316000	256	5.15	0.101	0.111
247000	2300000	256	4.48	0.11	0.113
263000	2396000	256	2.66	0.383	0.279
263000	2380000	256	3.83	0.101	0.128
263000	2364000	256	2.39	0.101	0.115
263000	2348000	256	9.51	0.101	0.113
263000	2332000	256	6.2	0.169	0.145
263000	2316000	256	4.21	0.12	0.121
263000	2300000	256	2.66	0.11	0.115
263000	2284000	256	3.35	0.101	0.112
279000	2396000	256	4.16	0.219	0.198
279000	2380000	256	1.93	0.14	0.147
279000	2364000	256	1.68	0.101	0.114
279000	2348000	256	4.51	0.101	0.113
279000	2332000	256	3.11	0.101	0.116
279000	2316000	256	4.48	0.101	0.114
279000	2300000	256	1.4	0.101	0.116
279000	2284000	256	2.13	0.149	0.139
279000	2268000	256	1.2	0.101	0.123
279000	2252000	256	0.39	0.101	0.127
279000	2220000	256	0.68	0.111	0.122
279000	2204000	256	0.54	0.101	0.11
295000	2396000	256	3.99	0.237	0.188
295000	2380000	256	1.76	0.101	0.119
295000	2364000	256	0.89	0.101	0.113
295000	2348000	256	0.73	0.198	0.156
295000	2332000	256	2.56	0.101	0.116
295000	2316000	256	0.51	0.188	0.155
295000	2300000	256	3.21	0.101	0.117
295000	2284000	256	4.98	0.179	0.151
295000	2268000	256	1.56	0.101	0.122
295000	2252000	256	2.24	0.285	0.213
295000	2236000	256	1.84	0.362	0.248
295000	2220000	256	1.35	0.111	0.129
295000	2204000	256	1.17	0.111	0.12
295000	2188000	256	0.5	0.101	0.114
295000	1836000	256	6.57	0.684	0.468
311000	2508000	256	1.13	0.199	0.173
311000	2396000	256	2.19	0.101	0.116
311000	2380000	256	3.09	0.101	0.112
311000	2364000	256	5.02	0.101	0.11
311000	2348000	256	0.09	0.101	0.111
311000	2332000	256	1.59	0.12	0.125
311000	2316000	256	3.44	0.159	0.141
311000	2300000	256	1.06	0.101	0.116
311000	2284000	256	2.04	0.101	0.114
311000	2268000	256	1.6	0.101	0.123
311000	2252000	256	0.35	0.141	0.152
311000	2236000	256	2.59	0.141	0.157
311000	2220000	256	0.92	0.179	0.168
311000	2204000	256	0.44	0.101	0.127
311000	2188000	256	0.93	0.101	0.132
