quadrat	X	Y	poids06	poids07	ANNEE	poids07_mai21	poids08_mai21	Poids07_juin21	Poids08_juin21
0103-2412	1.03e+08	2412	0	0	-	0	0	0	0
0119-2412	1.19e+08	2412	0	0	-	0	0	0	0
0119-2396	1.19e+08	2396	0	0	-	0	0	0	0
0119-2380	1.19e+08	2380	0	0	-	0	0	0	0
0119-2364	1.19e+08	2364	0	0	-	0	0	0	0
0119-2348	1.19e+08	2348	0	0	-	0	0	0	0
0135-2412	1.35e+08	2412	0	0	-	0	0	0	0
0135-2396	1.35e+08	2396	0	0	-	0	0	0	0
0135-2380	1.35e+08	2380	0	0	-	0	0	0	0
0135-2364	1.35e+08	2364	0	0	-	0	0	0	0
0151-2412	1.51e+08	2412	0	0	-	0	0	0	0
0151-2396	1.51e+08	2396	0	0	-	0	0	0	0
0151-2380	1.51e+08	2380	0	0	-	0	0	0	0
0151-2364	1.51e+08	2364	0	0	-	0	0	0	0
0151-2348	1.51e+08	2348	0	0	-	0	0	0	0
0167-2412	1.67e+08	2412	0	0	-	0	0	0	0
0167-2396	1.67e+08	2396	0	0	-	0	0	0	0
0167-2380	1.67e+08	2380	0	0	-	0	0	0	0
0167-2364	1.67e+08	2364	0	0	-	0	0	0	0
0167-2348	1.67e+08	2348	0	0	-	0	0	0	0
0167-2332	1.67e+08	2332	0	0	-	0	0	0	0
0183-2428	1.83e+08	2428	0	0	-	0	0	0	0
0183-2412	1.83e+08	2412	0	0	-	0	0	0	0
0183-2396	1.83e+08	2396	0	0	-	0	0	0	0
0183-2380	1.83e+08	2380	0	0	-	0	0	0	0
0183-2364	1.83e+08	2364	0	0	-	0	0	0	0
0183-2348	1.83e+08	2348	0	0	-	0	0	0	0
0183-2332	1.83e+08	2332	0	0	-	0	0	0	0
0199-2412	1.99e+08	2412	0	0	-	0	0	0	0
0199-2396	1.99e+08	2396	0	0	-	0	0	0	0
0199-2380	1.99e+08	2380	0	0	-	0	0	0	0
0199-2364	1.99e+08	2364	0	0	-	0	0	0	0
0199-2348	1.99e+08	2348	0	0	-	0	0	0	0
0199-2332	1.99e+08	2332	0	0	-	0	0	0	0
0199-2316	1.99e+08	2316	0	0	-	0	0	0	0
0215-2396	2.15e+08	2396	0	0	-	0	0	0	0
0215-2380	2.15e+08	2380	0	0	-	0	0	0	0
0215-2364	2.15e+08	2364	0	0	-	0	0	0	0
0215-2348	2.15e+08	2348	0	0	-	0	0	0	0
0215-2332	2.15e+08	2332	0	0	-	0	0	0	0
0215-2316	2.15e+08	2316	0	0	-	0	0	0	0
0231-2380	2.31e+08	2380	0	0	-	0	0	0	0
0231-2364	2.31e+08	2364	0	0	-	0	0	0	0
0231-2348	2.31e+08	2348	0	0	-	0	0	0	0
0231-2332	2.31e+08	2332	0	0	-	0	0	0	0
0231-2316	2.31e+08	2316	0	0	-	0	0	0	0
0231-2300	2.31e+08	2300	0	0	-	0	0	0	0
0247-2396	2.47e+08	2396	0	0	-	0	0	0	0
0247-2380	2.47e+08	2380	0	0	-	0	0	0	0
0247-2364	2.47e+08	2364	0	0	-	0	0	0	0
0247-2348	2.47e+08	2348	0	0	-	0	0	0	0
0247-2332	2.47e+08	2332	0	0	-	0	0	0	0
0247-2316	2.47e+08	2316	0	0	-	0	0	0	0
0247-2300	2.47e+08	2300	0	0	-	0	0	0	0
0263-2396	2.63e+08	2396	0	0	-	0	0	0	0
0263-2380	2.63e+08	2380	0	0	-	0	0	0	0
0263-2364	2.63e+08	2364	0	0	-	0	0	0	0
0263-2348	2.63e+08	2348	0	0	-	0	0	0	0
0263-2332	2.63e+08	2332	0	0	-	0	0	0	0
0263-2316	2.63e+08	2316	0	0	-	0	0	0	0
0263-2300	2.63e+08	2300	0	0	-	0	0	0	0
0263-2284	2.63e+08	2284	0	0	-	0	0	0	0
0279-2396	2.79e+08	2396	0	0	-	0	0	0	0
0279-2380	2.79e+08	2380	0	0	-	0	0	0	0
0279-2364	2.79e+08	2364	0	0	-	0	0	0	0
0279-2348	2.79e+08	2348	0	0	-	0	0	0	0
0279-2332	2.79e+08	2332	0	0	-	0	0	0	0
0279-2316	2.79e+08	2316	0	0	-	0	0	0	0
0279-2300	2.79e+08	2300	0	0	-	0	0	0	0
0279-2284	2.79e+08	2284	0	0	-	0	0	0	0
0279-2268	2.79e+08	2268	0	0	-	0	0	0	0
0279-2252	2.79e+08	2252	0	0	-	0	0	0	0
0279-2220	2.79e+08	2220	0	0	-	0	0	0	0
0279-2204	2.79e+08	2204	0	0	-	0	0	0	0
0295-2396	2.95e+08	2396	0	0	-	0	0	0	0
0295-2380	2.95e+08	2380	0	0	-	0	0	0	0
0295-2364	2.95e+08	2364	0	0	2017	0	0	0	0
0295-2348	2.95e+08	2348	0	0	-	0	0	0	0
0295-2332	2.95e+08	2332	0	0	-	0	0	0	0
0295-2316	2.95e+08	2316	0	0	-	0	0	0	0
0295-2300	2.95e+08	2300	0	0	-	0	0	0	0
0295-2284	2.95e+08	2284	0	0	-	0	0	0	0
0295-2268	2.95e+08	2268	0	0	-	0	0	0	0
0295-2252	2.95e+08	2252	0	0	-	0	0	0	0
0295-2236	2.95e+08	2236	0	0	-	0	0	0	0
0295-2220	2.95e+08	2220	0	0	-	0	0	0	0
0295-2204	2.95e+08	2204	0	0	-	0	0	0	0
0295-2188	2.95e+08	2188	0	0	-	0	0	0	0
0295-1836	2.95e+08	1836	0	0	-	0	0	0	0
0311-2508	3.11e+08	2508	0	0	2015	0	0	0	0
0311-2396	3.11e+08	2396	0	0	2016	0	0	0	0
0311-2380	3.11e+08	2380	0	0	2017	0	0	0	0
0311-2364	3.11e+08	2364	0	0	2017	0	0	0	0
0311-2348	3.11e+08	2348	0	0	2017	0	0	0	0
0311-2332	3.11e+08	2332	0	0	-	0	0	0	0
0311-2316	3.11e+08	2316	0	0	-	0	0	0	0
0311-2300	3.11e+08	2300	0	0	-	0	0	0	0
0311-2284	3.11e+08	2284	0	0	-	0	0	0	0
0311-2268	3.11e+08	2268	0	0	-	0	0	0	0
0311-2252	3.11e+08	2252	0	0	-	0	0	0	0
0311-2236	3.11e+08	2236	0	0	-	0	0	0	0
0311-2220	3.11e+08	2220	0	0	-	0	0	0	0
0311-2204	3.11e+08	2204	0	0	-	0	0	0	0
0311-2188	3.11e+08	2188	0	0	-	0	0	0	0
0311-2172	3.11e+08	2172	0	0	-	0	0	0	0
0311-1884	3.11e+08	1884	0	0	-	0	0	0	0
0311-1868	3.11e+08	1868	0	0	-	0	0	0	0
0311-1852	3.11e+08	1852	0	0	-	0	0	0	0
0311-1836	3.11e+08	1836	0	0	-	0	0	0	0
0311-1820	3.11e+08	1820	0	0	-	0	0	0	0
0327-2508	3.27e+08	2508	0	0	2013	0	0	0	0
0327-2492	3.27e+08	2492	0	0	2015	0	0	0	0
0327-2476	3.27e+08	2476	0	0	2013	0	0	0	0
0327-2460	3.27e+08	2460	0	0	2014	0	0	0	0
0327-2444	3.27e+08	2444	0	0	-	0	0	0	0
0327-2428	3.27e+08	2428	0	0	-	0	0	0	0
0327-2396	3.27e+08	2396	0	0	2016	0	0	0	0
0327-2380	3.27e+08	2380	0	0	2017	0	0	0	0
0327-2364	3.27e+08	2364	0	0	2017	0	0	0	0
0327-2348	3.27e+08	2348	0	0	-	0	0	0	0
0327-2332	3.27e+08	2332	0	0	-	0	0	0	0
0327-2316	3.27e+08	2316	0	0	-	0	0	0	0
0327-2300	3.27e+08	2300	0	0	-	0	0	0	0
0327-2284	3.27e+08	2284	0	0	-	0	0	0	0
0327-2268	3.27e+08	2268	0	0	2017	0	0	0	0
0327-2252	3.27e+08	2252	0	0	-	0	0	0	0
0327-2236	3.27e+08	2236	0	0	-	0	0	0	0
0327-2220	3.27e+08	2220	0	0	-	0	0	0	0
0327-2204	3.27e+08	2204	0	0	-	0	0	0	0
0327-2188	3.27e+08	2188	0	0	-	0	0	0	0
0327-2172	3.27e+08	2172	0	0	-	0	0	0	0
0327-1948	3.27e+08	1948	0	0	-	0	0	0	0
0327-1932	3.27e+08	1932	0	0	-	0	0	0	0
0327-1916	3.27e+08	1916	0	0	-	0	0	0	0
0327-1900	3.27e+08	1900	0	0	-	0	0	0	0
0327-1884	3.27e+08	1884	0	0	-	0	0	0	0
0327-1868	3.27e+08	1868	0	0	-	0	0	0	0
0327-1852	3.27e+08	1852	0	0	-	0	0	0	0
0327-1836	3.27e+08	1836	0	0	-	0	0	0	0
0327-1820	3.27e+08	1820	0	0	-	0	0	0	0
